module,os,description,deprecated
__future__,,Future statement definitions,
__main__,,The environment where the top-level script is run.,
_dummy_thread,,Drop-in replacement for the _thread module.,
_thread,,Low-level threading API.,
abc,,Abstract base classes according to PEP 3119.,
aifc,,Read and write audio files in AIFF or AIFC format.,
argparse,,Command-line option and argument parsing library.,
array,,Space efficient arrays of uniformly typed numeric values.,
ast,,Abstract Syntax Tree classes and manipulation.,
asynchat,,Support for asynchronous command/response protocols.,
asyncore,,A base class for developing asynchronous socket handling services.,
atexit,,Register and execute cleanup functions.,
audioop,,Manipulate raw audio data.,
base64,,"RFC 3548: Base16, Base32, Base64 Data Encodings",
bdb,,Debugger framework.,
binascii,,Tools for converting between binary and various ASCII-encoded binary representations.,
binhex,,Encode and decode files in binhex4 format.,
bisect,,Array bisection algorithms for binary searching.,
builtins,,The module that provides the built-in namespace.,
bz2,,Interfaces for bzip2 compression and decompression.,
cProfile,,,
calendar,,"Functions for working with calendars, including some emulation of the Unix cal program.",
cgi,,Helpers for running Python scripts via the Common Gateway Interface.,
cgitb,,Configurable traceback handler for CGI scripts.,
chunk,,Module to read IFF chunks.,
cmath,,Mathematical functions for complex numbers.,
cmd,,Build line-oriented command interpreters.,
code,,Facilities to implement read-eval-print loops.,
codecs,,Encode and decode data and streams.,
codeop,,Compile (possibly incomplete) Python code.,
collections,,Container datatypes,
collections.abc,,Abstract base classes for containers,
colorsys,,Conversion functions between RGB and other color systems.,
compileall,,Tools for byte-compiling all Python source files in a directory tree.,
concurrent.futures,,Execute computations concurrently using threads or processes.,
configparser,,Configuration file parser.,
contextlib,,Utilities for with-statement contexts.,
copy,,Shallow and deep copy operations.,
copyreg,,Register pickle support functions.,
crypt,Unix,The crypt() function used to check Unix passwords.,
csv,,Write and read tabular data to and from delimited files.,
ctypes,,A foreign function library for Python.,
curses,Unix,"An interface to the curses library, providing portable terminal handling.",
curses.ascii,,Constants and set-membership functions for ASCII characters.,
curses.panel,,A panel stack extension that adds depth to  curses windows.,
curses.textpad,,Emacs-like input editing in a curses window.,
datetime,,Basic date and time types.,
dbm,,"Interfaces to various Unix ""database"" formats.",
dbm.dumb,,Portable implementation of the simple DBM interface.,
dbm.gnu,Unix,GNU's reinterpretation of dbm.,
dbm.ndbm,Unix,"The standard ""database"" interface, based on ndbm.",
decimal,,Implementation of the General Decimal Arithmetic  Specification.,
difflib,,Helpers for computing differences between objects.,
dis,,Disassembler for Python bytecode.,
distutils,,Support for building and installing Python modules into an existing Python installation.,
distutils.archive_util,,"Utility functions for creating archive files (tarballs, zip files, ...)",
distutils.bcppcompiler,,,
distutils.ccompiler,,Abstract CCompiler class,
distutils.cmd,,This module provides the abstract base class Command. This class is subclassed by the modules in the distutils.command subpackage.,
